"iperf","sysbench","ycruncher","pgbench","1","vm"
1.6375,7.98869,4.7504,159093.7,1,1
1.6381,9.02758,5.23,145564,1,2
1.6427,9.02689,5.2486,144451.6,1,3
1.629,7.76335,4.1475,165235.5,1,4
1.6522,7.76237,4.3578,165764.5,1,5
1.631,7.99108,4.6796,150846.5,1,6
1.6362,9.02642,5.1657,145991.2,1,7
1.6279,9.02504,5.2248,145822.1,1,8
1.6199,7.76237,4.1796,165574.8,1,9
1.6205,9.0244,5.1367,144316.7,1,10
1.6262,9.02843,5.2032,144144.7,1,11
1.6381,7.99004,4.6447,153293.4,1,12
1.6301,7.99161,4.6936,150594.1,1,13
1.6312,9.02764,5.3205,142239,1,14
2.59618125,9.02655,5.2614,145470.3,1,15
1.6268,7.99104,4.6399,146961.9,1,16
1.6278,7.76408,4.3229,155899.5,1,17
1.627,7.99172,4.7367,158958.8,1,18
1.6414,9.02787,5.254,145830.7,1,19
2.2169,7.98978,4.7728,149550.5,1,20
1.6269,7.76245,4.1245,167969.7,1,21
1.6368,7.98947,4.6198,149201.3,1,22
1.6327,7.76506,4.2921,164372.4,1,23
1.6103,9.02888,5.216,135802.8,1,24
1.6581,9.0269,5.2873,143776.8,1,25
9.576,7.76075,4.1818,167536.5,1,26
1.6193,9.02554,5.1863,145715.9,1,27
1.6278,7.99154,4.7666,155268.1,1,28
1.6276,7.76593,4.3291,166581.5,1,29
1.6322,7.76381,4.1562,167795.4,1,30
1.6232,7.76112,4.3422,166153.6,1,31
1.6567,7.76582,4.3754,164801.7,1,32
9.534,7.99171,4.7614,156836.1,1,33
9.406,9.02398,5.2567,145045.9,1,34
8.913,9.02585,5.3078,143913.4,1,35
1.6276,7.99024,4.6437,152897.3,1,36
1.6388,7.98916,4.7554,159844.2,1,37
1.6379,9.02605,5.2717,144050.1,1,38
1.6547,9.02592,5.1943,144133.8,1,39
1.6438,7.99059,4.6479,146258.8,1,40
1.6377,7.76214,4.2839,166476.4,1,41
1.661,9.02682,5.2731,144468.9,1,42
2.59618125,7.99128,4.767,158011,1,43
1.6381,9.02591,5.3105,142717.6,1,44
1.6286,7.98978,4.7585,159930.8,1,45
16.357,9.1269,5.1824,143687.2,1,46
1.63,7.99034,4.6701,151546.2,1,47
1.6268,7.76167,4.3435,166632.6,1,48
1.6261,9.02738,5.2971,142223,1,49
1.6275,7.99073,4.6218,148156.9,1,50
