"instanceID","pgbench","setId","vmId"
"i-0062d028d4b1b0c17",159093.7,1,1
"i-0069a2fb2881e526e",145564,1,2
"i-0096e0731defa5bcf",144451.6,1,3
"i-0098bacd16b57b4dc",165235.5,1,4
"i-00a374920f339188c",165764.5,1,5
"i-00b268a4ae508cf2f",150846.5,1,6
"i-00c650a5bff4bf46c",145991.2,1,7
"i-0127ff963ce39608f",145822.1,1,8
"i-01630b674435938c1",165574.8,1,9
"i-018b98b01134abbc5",144316.7,1,10
"i-01e6e4abeaa36080f",144144.7,1,11
"i-02290982499d0a8b6",153293.4,1,12
"i-0260e33164c158580",150594.1,1,13
"i-0314d213ca75d492b",142239,1,14
"i-031b2f76071a565fc",145470.3,1,15
"i-0330f8e04fb45f4ac",146961.9,1,16
"i-03431dab34bcb014e",155899.5,1,17
"i-0431f5b0ba4f686c8",158958.8,1,18
"i-047575da5698f4497",145830.7,1,19
"i-04a3348d90ef3a6ac",149550.5,1,20
"i-04b9c2f75a375d7e5",167969.7,1,21
"i-0564c4e163025661e",149201.3,1,22
"i-061f3d47b6ec6d899",164372.4,1,23
"i-06c61b81107579b76",135802.8,1,24
"i-06f3ded19b65d040f",143776.8,1,25
"i-0734e46ea93248b96",167536.5,1,26
"i-07371e52fb12110ae",145715.9,1,27
"i-07aba7fdbc894c5fb",155268.1,1,28
"i-0859c1efd18620040",166581.5,1,29
"i-08f094191c88c5263",167795.4,1,30
"i-0935701764f9af451",166153.6,1,31
"i-097c3e46dcf390d8a",164801.7,1,32
"i-09ed11454ccbcef8f",156836.1,1,33
"i-0a6946be11150d3cf",145045.9,1,34
"i-0ab36265851b2f038",143913.4,1,35
"i-0b218a39a18187a2a",152897.3,1,36
"i-0b65af7aa537d3168",159844.2,1,37
"i-0b9926ad5c9938919",144050.1,1,38
"i-0b9ff58588e16d551",144133.8,1,39
"i-0c1b44f5929053a0c",146258.8,1,40
"i-0ca55bbf96a4d4a74",166476.4,1,41
"i-0dacc3a1a65a223ac",144468.9,1,42
"i-0e2bba3028e57b933",158011,1,43
"i-0e8f378870dcbd5d3",142717.6,1,44
"i-0e9ad9f08cc1486c9",159930.8,1,45
"i-0ece06eab633a3526",143687.2,1,46
"i-0f0e24c09425eac71",151546.2,1,47
"i-0f83d46715e5b7ba9",166632.6,1,48
"i-0fe52617ed49f921d",142223,1,49
"i-0ff32a7bce1e3a734",148156.9,1,50
