"instanceID","sysbench","setId","vmId"
"i-0062d028d4b1b0c17",7.98869,1,1
"i-0069a2fb2881e526e",9.02758,1,2
"i-0096e0731defa5bcf",9.02689,1,3
"i-0098bacd16b57b4dc",7.76335,1,4
"i-00a374920f339188c",7.76237,1,5
"i-00b268a4ae508cf2f",7.99108,1,6
"i-00c650a5bff4bf46c",9.02642,1,7
"i-0127ff963ce39608f",9.02504,1,8
"i-01630b674435938c1",7.76237,1,9
"i-018b98b01134abbc5",9.0244,1,10
"i-01e6e4abeaa36080f",9.02843,1,11
"i-02290982499d0a8b6",7.99004,1,12
"i-0260e33164c158580",7.99161,1,13
"i-0314d213ca75d492b",9.02764,1,14
"i-031b2f76071a565fc",9.02655,1,15
"i-0330f8e04fb45f4ac",7.99104,1,16
"i-03431dab34bcb014e",7.76408,1,17
"i-0431f5b0ba4f686c8",7.99172,1,18
"i-047575da5698f4497",9.02787,1,19
"i-04a3348d90ef3a6ac",7.98978,1,20
"i-04b9c2f75a375d7e5",7.76245,1,21
"i-0564c4e163025661e",7.98947,1,22
"i-061f3d47b6ec6d899",7.76506,1,23
"i-06c61b81107579b76",9.02888,1,24
"i-06f3ded19b65d040f",9.0269,1,25
"i-0734e46ea93248b96",7.76075,1,26
"i-07371e52fb12110ae",9.02554,1,27
"i-07aba7fdbc894c5fb",7.99154,1,28
"i-0859c1efd18620040",7.76593,1,29
"i-08f094191c88c5263",7.76381,1,30
"i-0935701764f9af451",7.76112,1,31
"i-097c3e46dcf390d8a",7.76582,1,32
"i-09ed11454ccbcef8f",7.99171,1,33
"i-0a6946be11150d3cf",9.02398,1,34
"i-0ab36265851b2f038",9.02585,1,35
"i-0b218a39a18187a2a",7.99024,1,36
"i-0b65af7aa537d3168",7.98916,1,37
"i-0b9926ad5c9938919",9.02605,1,38
"i-0b9ff58588e16d551",9.02592,1,39
"i-0c1b44f5929053a0c",7.99059,1,40
"i-0ca55bbf96a4d4a74",7.76214,1,41
"i-0dacc3a1a65a223ac",9.02682,1,42
"i-0e2bba3028e57b933",7.99128,1,43
"i-0e8f378870dcbd5d3",9.02591,1,44
"i-0e9ad9f08cc1486c9",7.98978,1,45
"i-0ece06eab633a3526",9.1269,1,46
"i-0f0e24c09425eac71",7.99034,1,47
"i-0f83d46715e5b7ba9",7.76167,1,48
"i-0fe52617ed49f921d",9.02738,1,49
"i-0ff32a7bce1e3a734",7.99073,1,50
