"instanceID","ycruncher","setId","vmId"
"i-0062d028d4b1b0c17",4.7504,1,1
"i-0069a2fb2881e526e",5.23,1,2
"i-0096e0731defa5bcf",5.2486,1,3
"i-0098bacd16b57b4dc",4.1475,1,4
"i-00a374920f339188c",4.3578,1,5
"i-00b268a4ae508cf2f",4.6796,1,6
"i-00c650a5bff4bf46c",5.1657,1,7
"i-0127ff963ce39608f",5.2248,1,8
"i-01630b674435938c1",4.1796,1,9
"i-018b98b01134abbc5",5.1367,1,10
"i-01e6e4abeaa36080f",5.2032,1,11
"i-02290982499d0a8b6",4.6447,1,12
"i-0260e33164c158580",4.6936,1,13
"i-0314d213ca75d492b",5.3205,1,14
"i-031b2f76071a565fc",5.2614,1,15
"i-0330f8e04fb45f4ac",4.6399,1,16
"i-03431dab34bcb014e",4.3229,1,17
"i-0431f5b0ba4f686c8",4.7367,1,18
"i-047575da5698f4497",5.254,1,19
"i-04a3348d90ef3a6ac",4.7728,1,20
"i-04b9c2f75a375d7e5",4.1245,1,21
"i-0564c4e163025661e",4.6198,1,22
"i-061f3d47b6ec6d899",4.2921,1,23
"i-06c61b81107579b76",5.216,1,24
"i-06f3ded19b65d040f",5.2873,1,25
"i-0734e46ea93248b96",4.1818,1,26
"i-07371e52fb12110ae",5.1863,1,27
"i-07aba7fdbc894c5fb",4.7666,1,28
"i-0859c1efd18620040",4.3291,1,29
"i-08f094191c88c5263",4.1562,1,30
"i-0935701764f9af451",4.3422,1,31
"i-097c3e46dcf390d8a",4.3754,1,32
"i-09ed11454ccbcef8f",4.7614,1,33
"i-0a6946be11150d3cf",5.2567,1,34
"i-0ab36265851b2f038",5.3078,1,35
"i-0b218a39a18187a2a",4.6437,1,36
"i-0b65af7aa537d3168",4.7554,1,37
"i-0b9926ad5c9938919",5.2717,1,38
"i-0b9ff58588e16d551",5.1943,1,39
"i-0c1b44f5929053a0c",4.6479,1,40
"i-0ca55bbf96a4d4a74",4.2839,1,41
"i-0dacc3a1a65a223ac",5.2731,1,42
"i-0e2bba3028e57b933",4.767,1,43
"i-0e8f378870dcbd5d3",5.3105,1,44
"i-0e9ad9f08cc1486c9",4.7585,1,45
"i-0ece06eab633a3526",5.1824,1,46
"i-0f0e24c09425eac71",4.6701,1,47
"i-0f83d46715e5b7ba9",4.3435,1,48
"i-0fe52617ed49f921d",5.2971,1,49
"i-0ff32a7bce1e3a734",4.6218,1,50
